,city
1,Moscow
2,Saint Petersburg
3,Novosibirsk
4,Yekaterinburg
5,Nizhniy Novgorod
6,Kazan
7,Chelyabinsk
8,Omsk
9,Samara
10,Rostov
11,Ufa
12,Krasnoyarsk
13,Voronezh
14,Perm
15,Volgograd
16,Krasnodar
17,Saratov
18,Tyumen
19,Tolyatti
20,Izhevsk
21,Barnaul
22,Ulyanovsk
23,Irkutsk
24,Khabarovsk
25,Yaroslavl
26,Vladivostok
27,Makhachkala
28,Tomsk
29,Orenburg
30,Kemerovo
31,Novokuznetsk
32,Ryazan
33,Naberezhnyye Chelny
34,Astrakhan
35,Penza
36,Lipetsk
37,Kirov
38,Cheboksary
39,Tula
40,Kaliningrad
41,Balashikha
42,Kursk
43,Stavropol
44,Ulan-Ude
45,Tver
46,Magnitogorsk
47,Sochi
48,Ivanovo
49,Bryansk
50,Surgut
51,Belgorod
52,Vladimir
53,Nizhniy Tagil
54,Arkhangelsk
55,Chita
56,Kaluga
57,Smolensk
58,Volzhskiy
59,Cherepovets
60,Saransk
61,Vologda
62,Orël
63,Yakutsk
64,Kurgan
65,Vladikavkaz
66,Podolsk
67,Murmansk
68,Tambov
69,Groznyy
70,Sterlitamak
71,Petrozavodsk
72,Kostroma
73,Nizhnevartovsk
74,Novorossiysk
75,Yoshkar-Ola
76,Nalchik
77,Engels
78,Khimki
79,Taganrog
80,Komsomol’sk-na-Amure
81,Syktyvkar
82,Nizhnekamsk
83,Shakhty
84,Dzerzhinsk
85,Bratsk
86,Orsk
87,Noginsk
88,Kolpino
89,Angarsk
90,Korolëv
91,Blagoveshchensk
92,Velikiy Novgorod
93,Staryy Oskol
94,Mytishchi
95,Lyubertsy
96,Pskov
97,Biysk
98,Prokopyevsk
99,Yuzhno-Sakhalinsk
100,Armavir
